node,expression,type
RARA,14.5751016912982,TF
RARB,3.8461796939373,TF
RARG,39.2817251617089,TF
RELA,0.207677879370749,TF
RFX1,24.5927748968825,TF
RFX2,87.0689248200506,TF
RFX3,61.0050598159432,TF
RFX4,13.0598146701232,TF
RFX5,74.8287650756538,TF
RORA,7.4544936651364,TF
RREB1,14.3258552532643,TF
RUNX1,28.5302380099893,TF
RUNX2,54.7468249220401,TF
RUNX3,82.5284279184416,TF
RXRA,63.1783880991861,TF
RXRB,7.37660736776888,TF
SALL1,32.0767206605524,TF
SALL2,96.1129328003153,TF
SATB1,75.4091142676771,TF
SMAD1,50.0282317167148,TF
SMAD2,19.8319657240063,TF
SMAD3,79.489089245908,TF
SMAD4,60.6654913863167,TF
SOX1,45.7591781625524,TF
SOX10,21.040187869221,TF
SOX11,30.4982379311696,TF
SOX12,95.9316732361913,TF
SOX13,71.566519443877,TF
SOX15,43.0634208256379,TF
SOX2,4.19302445370704,TF
SOX4,94.0052116755396,TF
SOX5,81.7594688618556,TF
SOX6,16.5228734025732,TF
SOX8,50.1627960242331,TF
SOX9,91.1001093685627,TF
SP1,92.9575573652983,TF
SP2,19.7044254979119,TF
SP3,78.0831283191219,TF
SPI1,25.6699539488181,TF
SREBF1,83.9941650396213,TF
SRF,6.90427673980594,TF
STAT1,70.0007974170148,TF
STAT3,46.9690553843975,TF
STAT5A,8.3352075656876,TF
STAT5B,8.64802831783891,TF
STAT6,87.0492463931441,TF
TBX1,61.8037110893056,TF
TBX3,43.4695980977267,TF
TCF12,59.6555353607982,TF
TCF4,62.2282291995361,TF
TCF7,3.74462313484401,TF
TCF7L1,4.73250020295382,TF
TCF7L2,1.25185437500477,TF
TEAD1,79.6629169723019,TF
TEAD3,67.1616338891909,TF
TEF,96.3125391863286,TF
TFAP4,3.42228619847447,TF
TFE3,43.7733916565776,TF
TFEB,10.0167121971026,TF
TGIF1,97.8807527339086,TF
THRA,52.4430997204036,TF
THRB,9.16714037302881,TF
TP53,17.3843569355085,TF
VDR,93.938365066424,TF
YY1,92.3583254683763,TF
ZBTB20,32.4898507678881,TF
ZBTB34,28.0361516168341,TF
ZBTB38,40.4682508669794,TF
ZBTB4,8.21746373549104,TF
ZBTB46,38.1477362010628,TF
ZBTB7A,90.596210793592,TF
ZBTB7B,77.1196695277467,TF
ZBTB7C,14.0149710001424,TF
ZEB1,9.29223583079875,TF
ZFHX2,74.2595718242228,TF
ZFP1,27.3759780218825,TF
ZFP14,79.7691237879917,TF
ZFP3,62.7583921421319,TF
ZFP41,19.5469632046297,TF
ZFP62,91.242607543245,TF
ZFPM1,19.1879545105621,TF
ZIC1,31.3955266727135,TF
ZIC2,88.9920021174476,TF
ZIC3,85.813868092373,TF
ZIC4,16.7940487153828,TF
ZIC5,45.7520385971293,TF
ZIK1,55.1509510260075,TF
ZKSCAN1,50.2214129082859,TF
ZKSCAN3,62.3909420566633,TF
ZNF114,72.2271234728396,TF
ZNF132,37.5690429937094,TF
ZNF134,18.4003744507208,TF
ZNF135,15.9711031010374,TF
ZNF136,10.079554724507,TF
ZNF143,22.8049336001277,TF
ZNF174,61.8278345093131,TF
ZNF18,75.9260946651921,TF
ZNF184,5.13529870659113,TF
ZNF19,15.4725581407547,TF
ZNF195,74.5318731525913,TF
ZNF2,53.8807411212474,TF
ZNF211,6.4036951167509,TF
ZNF213,56.9824432954192,TF
ZNF22,45.3804641263559,TF
ZNF226,6.05556792579591,TF
ZNF227,91.066097933799,TF
ZNF23,89.2652902752161,TF
ZNF232,49.9538830248639,TF
ZNF236,17.7783578401431,TF
ZNF251,77.791315712966,TF
ZNF254,97.7586097782478,TF
ZNF26,13.9089838601649,TF
ZNF264,55.4966578260064,TF
ZNF266,2.75197033770382,TF
ZNF273,59.8930472508073,TF
ZNF275,22.3092863103375,TF
ZNF287,71.9315547728911,TF
ZNF302,96.8497382476926,TF
ZNF311,9.07005614135414,TF
ZNF320,12.1141269104555,TF
ZNF324,90.1084518292919,TF
ZNF329,42.8074424387887,TF
ZNF334,70.399066968821,TF
ZNF335,62.1949781896546,TF
ZNF341,64.8972685914487,TF
ZNF343,97.5971401436254,TF
ZNF35,4.20024450868368,TF
ZNF358,38.4197868406773,TF
ZNF383,63.3654281264171,TF
ZNF397,12.6410216325894,TF
ZNF408,39.4067685119808,TF
ZNF41,59.016404626891,TF
ZNF43,24.2909375810996,TF
ZNF433,55.6953246938065,TF
ZNF436,80.1612257957458,TF
ZNF439,64.201591629535,TF
ZNF440,3.06710405275226,TF
ZNF445,21.8821324408054,TF
ZNF468,36.1111158039421,TF
ZNF470,55.7888024486601,TF
ZNF497,23.5427191713825,TF
ZNF501,95.1853324659169,TF
ZNF502,97.3913172492757,TF
ZNF514,26.1242323089391,TF
ZNF516,41.1563018802553,TF
ZNF521,70.4017454991117,TF
ZNF524,12.4555920483544,TF
ZNF526,58.6970470845699,TF
ZNF530,51.9366283668205,TF
ZNF536,0.670011411421001,TF
ZNF549,21.7448071576655,TF
ZNF551,42.8282021777704,TF
ZNF552,1.58759879413992,TF
ZNF557,31.9659642642364,TF
ZNF558,77.4439974455163,TF
ZNF559,21.1652946891263,TF
ZNF568,68.6597602441907,TF
ZNF57,56.6662402590737,TF
ZNF573,91.0412481520325,TF
ZNF574,35.7757796067744,TF
ZNF579,2.61198363732547,TF
ZNF580,86.6255883825943,TF
ZNF581,92.8457831963897,TF
ZNF584,42.818817961961,TF
ZNF585A,11.0696726711467,TF
ZNF586,14.4767927471548,TF
ZNF587,95.3607919858769,TF
ZNF605,29.3913727626204,TF
ZNF606,25.1815238269046,TF
ZNF613,50.867976504378,TF
ZNF619,53.6590890493244,TF
ZNF621,4.37185536138713,TF
ZNF624,94.8568240739405,TF
ZNF625,30.0835149362683,TF
ZNF626,34.4806323293597,TF
ZNF629,84.7885504830629,TF
ZNF649,11.4503037882969,TF
ZNF658,37.629762920551,TF
ZNF662,90.7308449735865,TF
ZNF664,54.8776170471683,TF
ZNF665,59.0606131823733,TF
ZNF669,21.1255619069561,TF
ZNF670,96.8077170895413,TF
ZNF672,17.3475469695404,TF
ZNF678,28.5421597538516,TF
ZNF682,10.7069356599823,TF
ZNF687,22.0546615775675,TF
ZNF689,72.9821889428422,TF
ZNF69,60.1730903843418,TF
ZNF692,3.43617582693696,TF
ZNF696,79.2290577664971,TF
ZNF697,50.3122570225969,TF
ZNF699,17.6293891621754,TF
ZNF701,2.13037566281855,TF
ZNF709,16.0510452231392,TF
ZNF71,65.5063134385273,TF
ZNF710,68.7153402017429,TF
ZNF713,1.70909226872027,TF
ZNF740,67.7416083868593,TF
ZNF771,44.5865729590878,TF
ZNF785,0.44572742190212,TF
ZNF8,68.0260994005948,TF
ZNF823,53.6150241503492,TF
ZNF83,80.82270831801,TF
ZNF84,66.470804437995,TF
ZNF90,49.5781643781811,TF
ZNF91,8.28049746342003,TF
ZNF92,22.588420426473,TF
ZSCAN1,25.8971615927294,TF
ZSCAN12,27.7963421307504,TF
ZSCAN16,20.3758750343695,TF
ZSCAN18,17.8593969438225,TF
ZSCAN2,97.5322655634955,TF
