node,expression,type
ZNF35,61.5124532487243,TF
ZNF366,4.95718270540237,TF
ZNF383,16.8551138602197,TF
ZNF397,72.5260217441246,TF
ZNF41,30.9370863018557,TF
ZNF43,32.7833953080699,TF
ZNF433,9.69640179537237,TF
ZNF439,16.7720411438495,TF
ZNF440,17.2746747499332,TF
ZNF445,82.5483152177185,TF
ZNF468,44.4360201945528,TF
ZNF497,41.5039656916633,TF
ZNF501,64.0319323632866,TF
ZNF502,86.8975670775399,TF
ZNF514,63.5408298578113,TF
ZNF516,73.5495059750974,TF
ZNF521,9.57791109103709,TF
ZNF524,34.7482168814167,TF
ZNF526,45.9694356657565,TF
ZNF530,3.12179028987885,TF
ZNF541,93.9192958874628,TF
ZNF549,88.1223972886801,TF
ZNF551,3.66026950068772,TF
ZNF552,86.1598294461146,TF
ZNF557,37.8274354618043,TF
ZNF558,7.63811108190566,TF
ZNF559,40.3968745376915,TF
ZNF565,19.6198273450136,TF
ZNF568,95.2990242978558,TF
ZNF57,54.7221361426637,TF
ZNF573,80.4862737189978,TF
ZNF574,70.1905530178919,TF
ZNF579,50.7385867414996,TF
ZNF580,84.7223386866972,TF
ZNF581,12.8819067031145,TF
ZNF584,62.4941893154755,TF
ZNF585A,90.6703425105661,TF
ZNF587,46.2495087180287,TF
ZNF605,41.4122980087996,TF
ZNF606,45.1777232810855,TF
ZNF613,5.4620438022539,TF
ZNF619,78.8329869741574,TF
ZNF624,4.79869968257844,TF
ZNF625,28.7824158556759,TF
ZNF626,61.8048254866153,TF
ZNF627,63.0055063171312,TF
ZNF629,17.3033280530944,TF
ZNF648,61.3860484212637,TF
ZNF649,82.5149318436161,TF
ZNF662,16.3256975822151,TF
ZNF665,76.1557056102902,TF
ZNF669,58.4371723001823,TF
ZNF670,25.6117189768702,TF
ZNF672,76.8210751004517,TF
ZNF678,74.3933754973114,TF
ZNF682,54.4905768241733,TF
ZNF689,99.7976677725092,TF
ZNF69,25.8127299370244,TF
ZNF692,1.36596714146435,TF
ZNF696,88.4996170410886,TF
ZNF699,52.9233465204015,TF
ZNF709,40.7892531482503,TF
ZNF713,56.8466139258817,TF
ZNF771,56.9380627712235,TF
ZNF785,65.9028147114441,TF
ZNF8,86.5251553477719,TF
ZNF823,10.5414753779769,TF
ZNF84,18.1903174845502,TF
ZNF90,52.6297538541257,TF
ZNF91,86.6143019637093,TF
ZNF92,8.7564546847716,TF
ZNF99,77.9292507562786,TF
ZSCAN1,84.6811069641262,TF
ZSCAN16,50.8176856674254,TF
ZSCAN18,81.076527829282,TF
ZSCAN2,91.8527373112738,TF
ZSCAN4,51.1179361958057,TF
