TF,Out,In,Total,node,expression,type,TF_CliqueFraction
OLIG1,12,249,261,OLIG1,26.7566777765751,TF,0.0010487676979549
OLIG2,7,240,247,OLIG2,72.8945939801633,TF,NA
OSR1,39,106,145,OSR1,24.2532966658473,TF,NA
PAX3,33,248,281,PAX3,16.1382995545864,TF,0.00524383848977452
PAX6,111,33,144,PAX6,38.8052614638582,TF,0.00262191924488726
PBX1,72,230,302,PBX1,28.319370560348,TF,0.069743051914001
PBX3,144,21,165,PBX3,2.13627978228033,TF,NA
PKNOX2,70,150,220,PKNOX2,15.2727155713364,TF,0.00419507079181961
POU2F2,225,70,295,POU2F2,39.968921430409,TF,0.0477189302569481
POU3F2,170,269,439,POU3F2,69.1396145848557,TF,0.649187205034085
POU3F3,166,276,442,POU3F3,61.8211343418807,TF,0.502359727320399
PROX1,13,71,84,PROX1,70.6581356236711,TF,NA
PRRX1,79,38,117,PRRX1,62.1803583577275,TF,NA
RARA,147,232,379,RARA,37.5124746235088,TF,0.351337178814893
RELA,175,61,236,RELA,40.7117371214554,TF,0.0188778185631883
RFX1,133,34,167,RFX1,54.2285178555176,TF,NA
RFX2,91,234,325,RFX2,69.3283483851701,TF,0.0629260618772942
RFX4,77,56,133,RFX4,3.25014181435108,TF,NA
RORA,74,42,116,RORA,96.2611334398389,TF,NA
RREB1,162,39,201,RREB1,58.2112032454461,TF,NA
RUNX1,56,229,285,RUNX1,35.1619212888181,TF,0.0351337178814893
RUNX3,70,101,171,RUNX3,8.90137443784624,TF,0.016255899318301
RXRB,65,41,106,RXRB,66.2175098899752,TF,NA
SALL1,143,258,401,SALL1,10.6805420015007,TF,0.433141059255375
SALL2,76,119,195,SALL2,56.7775283707306,TF,NA
SATB1,77,171,248,SATB1,91.6018003830686,TF,0.0393287886733089
SCRT2,79,15,94,SCRT2,8.55333735235035,TF,NA
SHOX,29,22,51,SHOX,43.6360975494608,TF,NA
SIX1,21,5,26,SIX1,70.8731979131699,TF,NA
SOX1,159,266,425,SOX1,35.4889711132273,TF,0.425275301520713
SOX10,146,210,356,SOX10,54.7167765675113,TF,0.189826953329837
SOX11,199,77,276,SOX11,54.6714718686417,TF,NA
SOX12,160,90,250,SOX12,80.3828871110454,TF,0.042999475616151
SOX13,118,56,174,SOX13,43.6211118474603,TF,NA
SOX2,173,207,380,SOX2,93.0221837246791,TF,0.349239643418983
SOX21,166,150,316,SOX21,96.2306908797473,TF,0.1604614577871
SOX4,156,150,306,SOX4,30.2916252287105,TF,0.075511274252753
SOX6,144,204,348,SOX6,87.9640915198252,TF,0.162034609334033
SOX8,168,47,215,SOX8,87.207146640867,TF,NA
SOX9,188,201,389,SOX9,22.4424978950992,TF,0.35186156266387
SP1,270,105,375,SP1,69.5162203162909,TF,0.0807551127425275
SPIB,144,129,273,SPIB,29.7211265889928,TF,NA
SREBF1,45,199,244,SREBF1,30.2294848952442,TF,0.0167802831672784
SREBF2,46,16,62,SREBF2,91.242415481247,TF,NA
SRF,242,268,510,SRF,70.8460899535567,TF,0.838489774514945
STAT1,231,34,265,STAT1,31.603631307371,TF,NA
TBX21,83,122,205,TBX21,49.4417993584648,TF,0.0272679601468275
TCF12,62,62,124,TCF12,86.3946777302772,TF,NA
TCF4,31,265,296,TCF4,53.7250227760524,TF,NA
TCF7L2,109,171,280,TCF7L2,22.8456406621262,TF,0.119559517566859
TEAD1,86,36,122,TEAD1,49.6448714984581,TF,NA
TEAD3,69,42,111,TEAD3,76.8560756230727,TF,NA
TEF,125,112,237,TEF,74.8090571956709,TF,0.0351337178814893
TFAP2A,159,25,184,TFAP2A,7.99802010878921,TF,NA
TFAP4,22,169,191,TFAP4,65.5135289067402,TF,NA
TFE3,11,26,37,TFE3,97.4761324236169,TF,NA
TGIF1,57,34,91,TGIF1,96.7789344489574,TF,NA
THRA,16,17,33,THRA,3.73973804526031,TF,NA
THRB,65,45,110,THRB,49.3481561541557,TF,NA
VAX1,52,40,92,VAX1,96.1910459911451,TF,NA
VENTX,55,15,70,VENTX,41.7165352031589,TF,NA
VSX1,71,132,203,VSX1,27.6095818495378,TF,0.0230728893550079
YY1,254,139,393,YY1,49.9014418805018,TF,0.11326691137913
ZBED1,0,20,20,ZBED1,77.088286052458,TF,NA
ZBTB20,25,81,106,ZBTB20,13.0148997530341,TF,NA
ZBTB38,47,152,199,ZBTB38,57.4241105699912,TF,0.0188778185631883
ZBTB7A,21,84,105,ZBTB7A,3.18914253730327,TF,NA
ZBTB7B,66,35,101,ZBTB7B,43.1704668793827,TF,NA
ZEB1,62,61,123,ZEB1,0.712450733408332,TF,NA
ZFP14,139,34,173,ZFP14,95.8003230625764,TF,NA
ZFP3,195,59,254,ZFP3,4.29399914573878,TF,NA
ZFP41,38,154,192,ZFP41,4.02945810928941,TF,0.00367068694284216
ZFP64,138,47,185,ZFP64,30.4551708279178,TF,NA
ZFPM1,32,45,77,ZFPM1,11.7790480609983,TF,NA
ZIC1,113,245,358,ZIC1,32.1223102509975,TF,0.209229155742003
ZIC4,50,250,300,ZIC4,0.256694294512272,TF,0.0272679601468275
ZIK1,100,41,141,ZIK1,70.7978068850935,TF,NA
ZKSCAN1,63,46,109,ZKSCAN1,98.5104568535462,TF,NA
ZNF114,14,9,23,ZNF114,10.0902329431847,TF,NA
ZNF132,177,77,254,ZNF132,70.8501995075494,TF,0.0183534347142108
ZNF134,109,24,133,ZNF134,79.8176016891375,TF,0.00314630309386471
ZNF135,134,106,240,ZNF135,11.8987656896934,TF,0.042999475616151
ZNF136,76,42,118,ZNF136,93.5852254042402,TF,NA
ZNF157,59,18,77,ZNF157,61.7362261749804,TF,NA
ZNF174,32,37,69,ZNF174,5.49338897690177,TF,NA
ZNF184,126,106,232,ZNF184,15.9057616023347,TF,0.0450970110120608
ZNF19,119,43,162,ZNF19,78.3054074971005,TF,NA
ZNF195,142,55,197,ZNF195,9.69200297258794,TF,NA
ZNF2,63,26,89,ZNF2,24.907223531045,TF,NA
ZNF211,85,24,109,ZNF211,41.5362457046285,TF,NA
ZNF213,24,127,151,ZNF213,3.8067240966484,TF,NA
ZNF22,81,30,111,ZNF22,28.7397827254608,TF,NA
ZNF226,145,29,174,ZNF226,21.8288779491559,TF,NA
ZNF227,205,29,234,ZNF227,32.5938541209325,TF,NA
ZNF23,167,43,210,ZNF23,90.4593944782391,TF,NA
ZNF232,46,59,105,ZNF232,35.9265973558649,TF,NA
ZNF236,212,78,290,ZNF236,59.8246206063777,TF,NA
ZNF251,103,86,189,ZNF251,52.8793367790058,TF,NA
ZNF254,142,57,199,ZNF254,87.2603381983936,TF,NA
ZNF26,63,65,128,ZNF26,32.8272195998579,TF,NA
ZNF266,73,68,141,ZNF266,87.5638745026663,TF,NA
ZNF273,93,8,101,ZNF273,15.0389154208824,TF,NA
ZNF276,150,50,200,ZNF276,13.0484707886353,TF,NA
ZNF287,118,78,196,ZNF287,70.3374909935519,TF,NA
ZNF311,67,25,92,ZNF311,76.17563593667,TF,NA
ZNF320,107,66,173,ZNF320,47.2087706439197,TF,NA
ZNF324,85,67,152,ZNF324,42.1500438358635,TF,0.0125852123754588
ZNF329,100,20,120,ZNF329,0.103050726465881,TF,NA
ZNF334,65,212,277,ZNF334,83.4816610440612,TF,0.0854745673833246
ZNF343,89,63,152,ZNF343,53.9870554581285,TF,NA
ZNF35,144,26,170,ZNF35,2.19458660576493,TF,NA
ZNF366,61,271,332,ZNF366,65.2227149344981,TF,0.0571578395385422
ZNF383,133,103,236,ZNF383,26.0527879232541,TF,0.042999475616151
ZNF397,12,79,91,ZNF397,14.3290150677785,TF,NA
ZNF41,147,31,178,ZNF41,54.2868234915659,TF,NA
ZNF43,162,50,212,ZNF43,88.1655050674453,TF,NA
ZNF433,85,13,98,ZNF433,68.9776547951624,TF,NA
ZNF439,101,8,109,ZNF439,46.6161826625466,TF,NA
ZNF440,70,8,78,ZNF440,58.9607094880193,TF,NA
ZNF445,116,76,192,ZNF445,4.27213837392628,TF,NA
ZNF468,134,37,171,ZNF468,66.5636065648869,TF,NA
ZNF497,85,142,227,ZNF497,75.3635676112026,TF,0.0173046670162559
ZNF501,76,26,102,ZNF501,56.1932855751365,TF,NA
ZNF502,159,26,185,ZNF502,99.1349503397942,TF,NA
ZNF514,30,26,56,ZNF514,3.17575186491013,TF,NA
ZNF516,40,262,302,ZNF516,92.5166175467893,TF,0.0235972732039853
ZNF521,141,116,257,ZNF521,38.4888752596453,TF,NA
ZNF524,99,150,249,ZNF524,37.2400548774749,TF,0.0398531725222863
ZNF526,137,174,311,ZNF526,91.9790762942284,TF,0.136864184583115
ZNF530,130,41,171,ZNF530,33.2387577975169,TF,NA
ZNF541,67,114,181,ZNF541,61.4029057556763,TF,NA
ZNF549,90,41,131,ZNF549,7.30871099513024,TF,NA
ZNF551,55,24,79,ZNF551,21.6153014218435,TF,NA
ZNF552,94,25,119,ZNF552,43.5917562805116,TF,NA
ZNF557,105,57,162,ZNF557,32.9866397427395,TF,0.00734137388568432
ZNF558,66,57,123,ZNF558,10.7042043237016,TF,NA
ZNF559,52,32,84,ZNF559,50.1315612811595,TF,NA
ZNF565,93,17,110,ZNF565,66.2404721369967,TF,NA
ZNF568,132,36,168,ZNF568,76.441887463443,TF,NA
ZNF57,123,54,177,ZNF57,82.2446739766747,TF,NA
ZNF573,119,48,167,ZNF573,34.1013285564259,TF,NA
ZNF574,121,98,219,ZNF574,53.7843861151487,TF,0.00734137388568432
ZNF579,131,114,245,ZNF579,93.9354577101767,TF,0.0256948085998951
ZNF580,91,150,241,ZNF580,85.4397348128259,TF,0.0188778185631883
ZNF581,82,150,232,ZNF581,90.2965082321316,TF,NA
ZNF584,31,77,108,ZNF584,52.284908015281,TF,NA
ZNF585A,142,51,193,ZNF585A,33.5786523297429,TF,NA
ZNF587,112,25,137,ZNF587,32.176289241761,TF,NA
ZNF605,163,34,197,ZNF605,41.9651532545686,TF,NA
ZNF606,30,106,136,ZNF606,60.8301306143403,TF,NA
ZNF613,109,51,160,ZNF613,18.2701745070517,TF,NA
ZNF619,46,35,81,ZNF619,74.5058204280213,TF,NA
ZNF624,89,46,135,ZNF624,89.1633328748867,TF,NA
ZNF625,57,42,99,ZNF625,93.6305998591706,TF,NA
ZNF626,84,16,100,ZNF626,33.2532332278788,TF,NA
ZNF627,64,7,71,ZNF627,3.12598617747426,TF,NA
ZNF629,109,154,263,ZNF629,43.8438189448789,TF,0.105925537493445
ZNF648,96,110,206,ZNF648,57.9529728740454,TF,NA
ZNF649,18,51,69,ZNF649,9.8170010605827,TF,NA
ZNF662,45,43,88,ZNF662,72.5947808707133,TF,NA
ZNF665,107,13,120,ZNF665,79.8479446908459,TF,0.0010487676979549
ZNF669,135,59,194,ZNF669,33.1141540082172,TF,NA
ZNF670,110,59,169,ZNF670,79.1241501225159,TF,NA
ZNF672,145,185,330,ZNF672,62.6171197043732,TF,NA
ZNF678,142,37,179,ZNF678,26.9773583859205,TF,0.00524383848977452
ZNF682,113,32,145,ZNF682,22.5435336818919,TF,0.0010487676979549
ZNF689,79,180,259,ZNF689,92.8456494119018,TF,0.0409019402202412
ZNF69,74,8,82,ZNF69,71.574561484158,TF,NA
ZNF692,50,185,235,ZNF692,13.9192674541846,TF,0.0235972732039853
ZNF696,95,154,249,ZNF696,38.2099274313077,TF,0.110644992134242
ZNF699,160,32,192,ZNF699,70.5737622454762,TF,0.00734137388568432
ZNF709,132,53,185,ZNF709,10.0367492763326,TF,NA
ZNF713,128,78,206,ZNF713,93.5787006979808,TF,NA
ZNF771,47,159,206,ZNF771,87.0146315312013,TF,NA
ZNF785,34,110,144,ZNF785,77.8391835512593,TF,0.00157315154693235
ZNF8,38,93,131,ZNF8,55.2078338107094,TF,NA
ZNF823,177,29,206,ZNF823,96.2241529719904,TF,0.00262191924488726
ZNF84,90,60,150,ZNF84,42.7975834580138,TF,NA
ZNF90,76,32,108,ZNF90,42.0701396418735,TF,NA
ZNF91,221,64,285,ZNF91,59.5344724832103,TF,0.0298898793917147
ZNF92,153,23,176,ZNF92,7.5041753705591,TF,NA
ZNF99,192,19,211,ZNF99,61.4218755858019,TF,NA
ZSCAN1,28,106,134,ZSCAN1,4.18450036086142,TF,NA
ZSCAN16,31,90,121,ZSCAN16,30.5920079350471,TF,NA
ZSCAN18,18,20,38,ZSCAN18,58.3679704228416,TF,NA
ZSCAN2,159,13,172,ZSCAN2,33.9138983981684,TF,NA
ZSCAN4,131,24,155,ZSCAN4,56.966655398719,TF,NA
