REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	A549.H3K27AC.ENCFF714TFN.sorted.bam	A549.INPUT.ENCFF669AUD.sorted.bam	enhancerRank	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	enhancerRank	isSuper
15_Peak_60274_lociStitched	chr2	160204219	160273628	15	47706	86573.8457	13451.4642	24	AC092153.1,LINC02478,RBMS1	ITGB6,RBMS1	AC092153.1	24	1
21_Peak_26064_lociStitched	chr16	14474399	14566254	21	53963	89191.205	16552.271	25	PARN	PARN,RN7SL274P	PARN	25	1
11_Peak_53062_lociStitched	chr5	59741090	59802235	11	48506	83450.696	10969.413	26	PDE4D	MIR582	PDE4D	26	1
11_Peak_4118_lociStitched	chr9	21546133	21619494	11	55140	86382.5775	14342.0755	27	MIR31HG	AL137022.1,MIR31,RF00157	MIR31HG	27	1
18_Peak_13077_lociStitched	chr8	25169801	25263937	18	57289	87122.868	16822.1032	28	DOCK5	DOCK5,AC073581.1,AC091185.2	DOCK5	28	1
20_Peak_5735_lociStitched	chr12	107318323	107415186	20	50882	86905.4836	17125.3784	29	BTBD11,RF00284	SETP7	RF00284	29	1
7_Peak_48960_lociStitched	chr12	47068529	47101107	7	31444	76792.8616	7303.9876	30	PCED1B,AMIGO2	AC119044.1	AMIGO2	30	1
31_Peak_47464_lociStitched	chr15	67833771	67962386	31	61588	91753.941	24436.85	31	SKOR1,AC009292.2,AC009292.1,RNU6-1	AC135628.1,AC022254.1	RNU6-1	31	1
8_Peak_92778_lociStitched	chr10	93432474	93482736	8	40418	76986.3054	9680.4612	32	MYOF	CEP55,RNA5SP323	MYOF	32	1
36_Peak_62745_lociStitched	chr7	131131496	131249811	36	67021	87647.752	20492.158	33	MKLN1,AC009362.1	MKLN1,LINC-PINT,AC016831.6	AC009362.1	33	1
9_Peak_34259_lociStitched	chr10	110387801	110461831	9	50457	79870.967	13125.519	34	HMGB3P5,AL355512.1	DUSP5,AL355512.1	HMGB3P5	34	1
8_Peak_33981_lociStitched	chr11	34629031	34686675	8	51391	77692.5832	10969.6532	35	EHF	AC087783.2	EHF	35	1
28_Peak_43370_lociStitched	chr7	28017856	28096133	28	58414	79905.1616	13260.1238	36	JAZF1	JAZF1,RNU6-979P	JAZF1	36	1
13_Peak_9668_lociStitched	chr2	101059925	101129353	13	48252	78925.7504	12337.3556	37	BBIP1P1,TBC1D8	TBC1D8-AS1,TBC1D8	TBC1D8	37	1
12_Peak_927_lociStitched	chr9	129457776	129509366	12	40381	75213.061	9244.928	38	LINC00963,AL353803.4	AL353803.1,AL353803.2	LINC00963	38	1
35_Peak_67415_lociStitched	chr3	172124601	172223673	35	68471	78247.0656	12819.9168	39	FNDC3B	RN7SL141P,RPS27AP8	FNDC3B	39	1
18_Peak_55661_lociStitched	chr2	69716213	69798926	18	42486	83763.4551	18660.0528	40	ANXA4	ANXA4,GMCL1,AAK1,AC092431.1,AC019206.1	ANXA4	40	1
8_Peak_50917_lociStitched	chr2	46836904	46890818	8	45483	77210.2394	12960.9256	41	LINC01119,AC016722.1	LINC01118,AC016722.2,TTC7A,MCFD2	LINC01119	41	1
19_Peak_21222_lociStitched	chr20	54096539	54177291	19	63334	81607.9712	17684.688	42	CYP24A1	PFDN4,MIR4756,BCAS1	CYP24A1	42	1
22_Peak_8313_lociStitched	chr8	61652525	61738336	22	54685	80387.7448	17067.8079	43	MIR4470,ASPH	AC025524.2,RN7SKP97,ASPH,AC091173.1	ASPH	43	1
16_Peak_10796_lociStitched	chr2	102019868	102123204	16	60946	79579.0536	16523.4264	44	IL1R2,IL1R1	LINC01127,IL1R2,IL1R1	IL1R1	44	1
21_Peak_9989_lociStitched	chr10	33235570	33338560	21	48065	81980.04	19207.635	45	NRP1,RN7SL398P	AL121748.2,AL353600.1,NRP1	RN7SL398P	45	1
25_Peak_34063_lociStitched	chr9	115913427	116008474	25	51882	78071.6058	15787.3067	46	LINC00474	AL691426.1	LINC00474	46	1
Peak_293	chr10	72240630	72266528	1	25899	66309.2392	4653.8706	47		ANAPC16,RF00019,DDIT4,ASCC1,DDIT4-AS1	DDIT4	47	1
27_Peak_46746_lociStitched	chr10	21265260	21373599	27	57375	78957.4632	17366.7417	48	RNU6-15P,AL158209.1	AL731547.1,LUZP4P1,RNMTL1P1	RNU6-15P	48	1
21_Peak_69620_lociStitched	chr20	22753710	22837772	21	49498	77959.0988	17325.1782	49		KRT18P3,CYB5AP4	KRT18P3	49	1
14_Peak_1281_lociStitched	chr5	39072785	39150868	14	37274	76654.0811	16459.8964	50	RICTOR,FYB1	GOLGA5P1	FYB1	50	1
17_Peak_19541_lociStitched	chr15	71384398	71458068	17	47603	75902.201	15721.178	51	THSD4	AC064799.2,AC064799.1	AC064799.2	51	1
15_Peak_104728_lociStitched	chr17	62776309	62831417	15	44765	71811.2348	11693.9176	52	AC068512.1,MARCH10	PRELID3BP3,MARCH10	MARCH10	52	1
Peak_656	chr9	94898859	94925331	1	26473	66635.3184	6554.4672	53	C9orf3,AL807757.2	C9orf3,AL353768.1,AL353768.2	C9orf3	53	1
Peak_7	chr19	39397012	39412263	1	15252	65437.4657	5516.2867	54	MED29,ZFP36,MIR4530	SAMD4B,RN7SL566P,MED29,PLEKHG2,SUPT5H,PAF1,RPS16	ZFP36	54	1
24_Peak_89536_lociStitched	chr5	135966538	136067840	24	57983	78964.909	19419.5934	55	TGFBI	FBXL21,AC002428.1,LECT2,VTRNA2-1	TGFBI	55	1
Peak_286	chr1	8178376	8217353	1	38978	64378.3109	4887.7158	56	AL358876.1,LINC01714,RNU1-7P	AL358876.2	LINC01714	56	1
6_Peak_578_lociStitched	chr10	5066949	5106382	6	32909	66862.5948	7575.0793	57	AKR1C3,RF00096	AKR1C2,AKR1C5P	RF00096	57	1
30_Peak_19380_lociStitched	chr6	142285150	142388947	30	68687	70239.4299	11147.7978	58	ADGRG6	ADGRG6,AL360007.1	ADGRG6	58	1
8_Peak_28848_lociStitched	chr6	11172089	11236119	8	50019	67628.486	8541.602	59	AL139807.1,NEDD9	AL136139.1	NEDD9	59	1
24_Peak_28880_lociStitched	chr10	80443920	80533210	24	49688	73441.025	14839.998	60	TSPAN14,AC021028.1	PRXL2A,SH2D4B	TSPAN14	60	1
13_Peak_104767_lociStitched	chr2	237459463	237513876	13	43668	68076.1043	9756.2509	61	MLPH,MIR6811	MLPH,RNU6-1140P,COL6A3,AC112721.1,AC112721.2	MLPH	61	1
14_Peak_2374_lociStitched	chr4	74617199	74683848	14	48712	66875.6066	8677.6998	62		AC239584.1	AC239584.1	62	1
11_Peak_35594_lociStitched	chr15	55868124	55919849	11	32960	69223.5675	11301.9125	63	NEDD4	NEDD4	NEDD4	63	1
8_Peak_31426_lociStitched	chr5	159156992	159219683	8	32227	68828.4489	11121.3834	64	AC134043.1,RNF145	LINC01932,RF00263,UBLCP1	RNF145	64	1
13_Peak_13290_lociStitched	chr5	168268711	168335176	13	50307	69243.237	11591.496	65	WWC1	TENM2,WWC1,CTB-178M22.2	WWC1	65	1
18_Peak_14755_lociStitched	chr3	57949705	58018945	18	57647	66297.3	8689.62	66	FLNB	SLMAP,PPIAP16	FLNB	66	1
32_Peak_83218_lociStitched	chr14	68502479	68609027	32	62081	73049.3088	15779.7588	67	RAD51B	RAD51B,AL121820.2	RAD51B	67	1
Peak_692	chr20	62349826	62373017	1	23192	61001.6064	3849.706	68	LAMA5-AS1,LAMA5	ADRM1,RPS21,AL354836.1,LAMA5,MIR4758,AL121832.2,CABLES2,AL121832.3	LAMA5	68	1
11_Peak_6456_lociStitched	chr1	205272433	205326155	11	42252	67061.1726	10379.0904	69	TMCC2,NUAK2	TMCC2,SNRPGP10,LEMD1-AS1,AC093422.2,KLHDC8A	NUAK2	69	1
16_Peak_20580_lociStitched	chrX	10563580	10636523	16	59710	65604.9342	9190.818	70	RNU6-800P,MID1		MID1	70	1
9_Peak_32936_lociStitched	chr3	112619259	112699932	9	43158	69612.7317	13448.1891	71	CCDC80,AC048334.1	SLC35A5,CCDC80,LINC02042	CCDC80	71	1
29_Peak_3460_lociStitched	chr2	28565669	28665222	29	57786	73639.3541	17531.2833	72	PLB1,AC074011.1	RNA5SP89	PLB1	72	1
11_Peak_40590_lociStitched	chr7	134512291	134564834	11	32921	72756.2921	16729.6912	73	AKR1B10,AKR1B15		AKR1B10	73	1
Peak_23	chr11	65487769	65509970	1	22202	60726.3953	4824.2773	74	MALAT1,RF01871,RF01684,AP000769.3,AP000769.2	MIR612,RF01684,AP000769.1,SCYL1,SNRPGP19,LTBP3	MALAT1	74	1
8_Peak_1853_lociStitched	chr8	130726076	130773824	8	39689	65744.2212	9931.584	75			AC090987.1	75	1
13_Peak_18318_lociStitched	chr3	149526440	149611033	13	50046	71920.9686	16698.6582	76	WWTR1	AC108751.5,RNU6-1098P,WWTR1-AS1,WWTR1-IT1,WWTR1	WWTR1	76	1
19_Peak_30864_lociStitched	chr12	62702216	62800126	19	49520	74548.674	19464.508	77	GAPDHP44,PPM1H	RPL32P26,PPM1H	GAPDHP44	77	1
5_Peak_409_lociStitched	chr8	61754155	61792703	5	36042	62590.3876	7532.2792	78	AC025524.2,AC091173.1	MIR4470,AC025524.2,ASPH,AC025524.1	AC091173.1	78	1
19_Peak_22519_lociStitched	chr14	68124193	68211566	19	43400	69749.8659	15657.2416	79	RAD51B,AL133370.1,RN7SL706P	AL133370.2,RN7SL108P	RN7SL706P	79	1
19_Peak_99394_lociStitched	chr5	173755627	173830276	19	51496	65840.418	12175.2519	80	LINC01485	LINC01484	LINC01485	80	1
1_Peak_352_lociStitched	chr11	118906084	118931004	1	24921	57378.3	3785.348	81	MIR4492,UPK2,BCL9L	CXCR5,RN7SL688P,UPK2,RF00019,FOXR1,AP004609.1	UPK2	81	1
14_Peak_86082_lociStitched	chr2	120906085	120958824	14	36586	62912.3531	9403.3637	82	GLI2	AC017033.1	AC017033.1	82	1
22_Peak_2793_lociStitched	chr20	10502973	10620470	22	52115	78100.2559	24815.3664	83	SLX4IP,AL035456.1	JAG1,MIR6870	SLX4IP	83	1
28_Peak_38620_lociStitched	chr6	150999726	151089344	28	64286	62598.173	9669.7822	84	MTHFD1L,AL133260.2,AL138733.1	AL133260.1	MTHFD1L	84	1
21_Peak_56448_lociStitched	chr2	205680280	205772469	21	57481	68671.5861	15957.9159	85	NRP2,AC007362.1		NRP2	85	1
8_Peak_23296_lociStitched	chr11	74254581	74289892	8	31694	59368.3843	6797.3675	86	PPME1,P4HA3	AP000577.1,PPME1,P4HA3-AS1,P4HA3,RF00409	P4HA3	86	1
19_Peak_77567_lociStitched	chr12	115790377	115873642	19	55271	63756.0105	11207.469	87	AC009387.1,LINC02463,RF00275		RF00275	87	1
14_Peak_57767_lociStitched	chr9	4119699	4179009	14	43580	63313.425	10776.627	88	GLIS3	AL359095.1,GLIS3	GLIS3	88	1
16_Peak_3421_lociStitched	chr16	15945009	16026041	16	50556	67167.4248	14828.856	89	ABCC1	RPL15P20	ABCC1	89	1
9_Peak_1227_lociStitched	chr1	223697939	223750047	9	40117	62190.898	9952.628	90	CAPN2	RNU6-1248P,CAPN2,CAPN8	CAPN2	90	1
7_Peak_60224_lociStitched	chr14	68774311	68824988	7	32666	60852.9416	8954.6259	91	ZFP36L1	MAGOH3P,RNU6-921P,BLZF2P	ZFP36L1	91	1
18_Peak_48741_lociStitched	chr12	20450469	20531262	18	45450	64295.0694	12902.6421	92	PDE3A	AC112777.1,PDE3A,UBE2L2	UBE2L2	92	1
Peak_250	chr20	47311825	47341703	1	29879	56562.0418	5279.4426	93	AL031666.2,ZMYND8	AL031666.1,ZMYND8,AL031666.3	ZMYND8	93	1
17_Peak_4243_lociStitched	chr20	4084979	4173531	17	39192	69823.252	18631.3408	94	SMOX	SMOX,LINC01433,RPL21P2,AL356414.1,ADRA1D	SMOX	94	1
9_Peak_72185_lociStitched	chr9	12766563	12821874	9	33346	59752.4733	8683.827	95	LURAP1L,LURAP1L-AS1	LURAP1L-AS1,RN7SL849P	LURAP1L	95	1
5_Peak_511_lociStitched	chr9	35507317	35554796	5	29476	59961.2291	8997.2705	96	RUSC2,RPL36AP33	RPS29P17,FAM166B	RUSC2	96	1
10_Peak_53197_lociStitched	chr20	49671536	49718548	10	40106	61077.9904	10290.9268	97	B4GALT5	RN7SL197P,SNRPFP1	B4GALT5	97	1
16_Peak_67338_lociStitched	chr12	110199225	110284705	16	36844	65640.092	14916.26	98	IFT81,ATP2A2	IFT81,ATP2A2	IFT81	98	1
17_Peak_49911_lociStitched	chr22	40477675	40544913	17	44821	59236.678	8700.5972	99	MRTFA-AS1,MRTFA	AL022238.1,COX6B1P3,MRTFA,RPL4P6	MRTFA-AS1	99	1
Peak_93	chr17	75677633	75704442	1	26810	57006.6576	6501.1825	100	SAP30BP,AC087749.2,AC087749.1	SMIM5,SMIM6,SAP30BP,ITGB4,RECQL5	SAP30BP	100	1
22_Peak_60854_lociStitched	chr7	11747831	11834155	22	67249	62256.8688	11895.4472	101	THSD7A,AC073109.1		AC073109.1	101	1
18_Peak_66090_lociStitched	chr3	188206107	188300023	18	55655	61561.938	11251.1368	102	LPP	FLJ42393,LPP	LPP	102	1
16_Peak_15137_lociStitched	chr10	3043731	3112650	16	38711	60710.7471	10482.5799	103	PFKP,AL731533.2	AL731533.1,PFKP,AL451164.3,PITRM1-AS1,PITRM1	PFKP	103	1
4_Peak_77189_lociStitched	chr2	10379238	10410444	4	23910	55896.1872	6503.3304	104	HPCAL1	HPCAL1,AC007249.2,AC007249.1,SNORA80B,ODC1	HPCAL1	104	1
12_Peak_47247_lociStitched	chr20	50715533	50767543	12	37565	58656.878	9356.599	105	PARD6B	BCAS4,RIPOR3	PARD6B	105	1
3_Peak_1379_lociStitched	chr15	71272895	71302829	3	29473	56784.798	7860.6684	106	THSD4	AC064799.2,AC064799.1	AC064799.2	106	1
Peak_4	chr2	233687720	233713601	1	25882	53462.3817	4984.6806	107	UGT1A8,UGT1A10,UGT1A9,UGT1A7,UGT1A6,UGT1A5,AC114812.2	UGT1A13P,UGT1A4,UGT1A3,AC114812.3,UGT1A2P,AC114812.4,UGT1A1,RPL17P11,DNAJB3,AC114812.1	UGT1A6	107	1
Peak_1	chr20	25229083	25247981	1	18899	52230.2924	3824.9552	108	AL035252.3,AL121772.1	ENTPD6,RF00019,PYGB,AL035252.4,AL121772.2,AL121772.3	AL121772.1	108	1
Peak_340	chr14	61533294	61568844	1	35551	55731.735	7597.035	109	PRKCH,AL355916.2,AL355916.1,LINC01303	PRKCH,FLJ22447	AL355916.1	109	1
Peak_6091	chr9	72927596	72956999	1	29404	54607.2516	6586.272	110	ALDH1A1		ALDH1A1	110	1
Peak_83	chr15	60368145	60384985	1	16841	52586.268	4935.804	111	ANXA2	AC087385.1,AC087385.2,ANXA2,AC087385.3	ANXA2	111	1
10_Peak_12589_lociStitched	chr2	46297308	46340181	10	38286	58285.8435	10928.3277	112	EPAS1	RF00017,EPAS1,AC016696.1	EPAS1	112	1
19_Peak_17776_lociStitched	chr17	72385588	72469985	19	42554	66479.5169	19554.7849	113	AC007639.1,LINC00511	LINC02003,LINC00511	LINC00511	113	1
9_Peak_42546_lociStitched	chr10	4650044	4704885	9	32746	55142.6255	8703.2667	114	LINC00705,MANCR		MANCR	114	1
16_Peak_85849_lociStitched	chr17	55411258	55464540	16	36929	57507.2626	11210.5328	115	MMD,SMIM36	SMIM36	MMD	115	1
25_Peak_67907_lociStitched	chr3	159805497	159884954	25	54769	57622.2164	11330.5682	116	IQCJ-SCHIP1,SCHIP1,RNU2-31P	IQCJ-SCHIP1,SCHIP1,IQCJ-SCHIP1-AS1	SCHIP1	116	1
12_Peak_14716_lociStitched	chr12	95168339	95232729	12	33176	58028.268	11828.443	117	VEZT,FGD6	AC126615.1,VEZT,RF00019	FGD6	117	1
Peak_6	chr12	52139787	52158587	1	18801	49951.6	3968.68	118		OR7E47P,LINC00592,AC078864.1,KRT80,C12orf80	LINC00592	118	1
10_Peak_8116_lociStitched	chr2	33206920	33250545	10	36565	54208.425	8498.15	119	LTBP1	LTBP1,AC019127.1,RNA5SP91	LTBP1	119	1
11_Peak_3352_lociStitched	chr3	98960247	98994778	11	30321	51475.3617	6049.8312	120	AC091212.1,LINC00973,RF00066		LINC00973	120	1
Peak_388	chr10	32945650	32965829	1	20180	49006.7194	3795.6699	121	ITGB1-DT,ITGB1	AK3P5,ITGB1-DT,ITGB1	ITGB1	121	1
15_Peak_15478_lociStitched	chr2	227363868	227417581	15	47437	55517.7568	10780.1991	122	TM4SF20,SCYGR1	MFF,AC097662.1	SCYGR1	122	1
Peak_129	chr11	61957997	61978202	1	20206	48409.1595	4004.631	123	BEST1,AP003733.4,FTH1	RNU6-1243P,BEST1,RAB3IL1,AP003733.1	AP003733.4	123	1
22_Peak_18772_lociStitched	chr5	76770317	76840535	22	45888	55423.0674	11080.4004	124	F2RL1,RN7SL208P	S100Z	F2RL1	124	1
16_Peak_71966_lociStitched	chr12	92060755	92112342	16	39386	53738.1779	9409.4688	125	LINC01619	AC025164.1,LINC01619,BTG1	LINC01619	125	1
7_Peak_2565_lociStitched	chr1	151968191	152001856	7	26881	51776.77	7561.159	126	AL450992.1,S100A10	NBPF18P,KRT8P28,S100A11	S100A10	126	1
15_Peak_36946_lociStitched	chr20	22373029	22431375	15	35549	56904.8538	12725.2626	127	AL133464.1	AL121912.1,AL133464.1	AL133464.1	127	1
17_Peak_16231_lociStitched	chr20	9292194	9360574	17	41447	57623.826	13723.866	128	PLCB4	PLCB4	PLCB4	128	1
14_Peak_44652_lociStitched	chr2	47265360	47323978	14	39173	55317.8066	11758.7708	129	AC106869.1	AC073283.2,BCYRN1,EPCAM,RN7SKP119	BCYRN1	129	1
11_Peak_26431_lociStitched	chr11	47973283	48018527	11	33664	52075.844	8555.6404	130	PTPRJ,PTPRJ-AS1	PTPRJ	PTPRJ	130	1
13_Peak_29443_lociStitched	chr5	157027328	157076426	13	36911	51862.2174	8744.3538	131	HAVCR1	AC011377.1,HAVCR2	HAVCR1	131	1
18_Peak_53877_lociStitched	chr7	80827087	80923753	18	38990	60193.9182	17225.8812	132	SEMA3C	SEMA3C	SEMA3C	132	1
18_Peak_65454_lociStitched	chr5	107418827	107490880	18	39448	55610.5054	12674.1227	133	EFNA5	EFNA5	EFNA5	133	1
18_Peak_19371_lociStitched	chr3	15743278	15817079	18	34485	54088.7529	11254.6525	134	ANKRD28	AC090950.2,AC090950.1,RN7SL4P,ANKRD28,MIR3134	ANKRD28	134	1
21_Peak_67580_lociStitched	chr3	112732225	112824076	21	39841	57480.3558	14686.9749	135	AC092892.1,LINC02042,CD200R1L	AC048334.1	AC092892.1	135	1
Peak_1192	chr1	200362065	200385819	1	23755	47831.0544	5366.0286	136	AC104461.1,LINC00862	AC097065.1,AC104461.1,AC097065.2,ZNF281	LINC00862	136	1
Peak_1238	chr7	130908746	130932438	1	23693	47341.3544	5070.088	137	LINC00513,AC016831.6,LINC-PINT,AC016831.4	AC058791.1,MIR29A,MIR29B1	LINC-PINT	137	1
20_Peak_14344_lociStitched	chrX	9996019	10053449	20	43530	49211.767	7127.063	138	WWC3,WWC3-AS1	CLDN34,RF00019	WWC3	138	1
12_Peak_28067_lociStitched	chr2	150119764	150188735	12	39493	52907.6541	10828.447	139	LINC01818		LINC01818	139	1
26_Peak_1896_lociStitched	chrX	110078920	110183442	26	41998	51592.0592	9542.8586	140	TMEM164,MIR3978	MIR652,SNORD96B	TMEM164	140	1
3_Peak_72576_lociStitched	chr2	46631025	46659142	3	27783	49511.2253	7473.4986	141		CRIPT,AC020604.1,LINC01118,SOCS5,PIGF	AC020604.1	141	1
26_Peak_18693_lociStitched	chr1	67682773	67771852	26	47585	52503.1626	10493.5062	142	GADD45A,GNG12	RN7SL392P,HNRNPCP9,RNU7-80P	GADD45A	142	1
Peak_10	chr19	38678041	38695755	1	17715	49050.066	7071.4288	143	ACTN4,AC008649.2	EIF3K,ACTN4,AC022144.1,CAPN12	AC008649.2	143	1
14_Peak_57047_lociStitched	chr21	43573075	43620083	14	35975	47614.4032	5678.5664	144	HSF2BP,MIR6070	RPL31P1,H2BFS,RRP1B	MIR6070	144	1
8_Peak_58980_lociStitched	chr7	95418303	95445192	8	21932	47265.4842	5552.5785	145	PON2	AC005021.1,AC004012.1,ASB4,PON3,PON2	PON2	145	1
Peak_923	chr9	95001770	95027020	1	25251	46851.375	5168.675	146	C9orf3	C9orf3,MIR6081,AL353768.2	C9orf3	146	1
21_Peak_17234_lociStitched	chr12	46429044	46496993	21	43907	52572.1413	10912.6094	147	AC008014.1	AC008014.1,AC025031.4,AC025031.5,AC008035.1,AC025031.1	AC025031.5	147	1
3_Peak_34284_lociStitched	chr2	142856754	142881628	3	24032	46357.6738	4748.4466	148	KYNU	AC013444.1,KYNU	KYNU	148	1
13_Peak_32165_lociStitched	chr18	26429361	26490623	13	40414	47870.1268	6573.4126	149	KCTD1	LINC01543	KCTD1	149	1
14_Peak_14987_lociStitched	chr8	127732575	127768356	14	32197	49474.3887	8301.192	150	MYC,CASC11	PVT1,RF02164,MIR1204	MYC	150	1
13_Peak_45941_lociStitched	chr9	4257997	4318674	13	27345	51508.7053	10393.9701	151	AL162419.1,GLIS3		GLIS3	151	1
7_Peak_3016_lociStitched	chr13	109240227	109278101	7	35995	45410.926	4378.2344	152	AL161431.1	LINC00370,LINC01067,MYO16-AS1	AL161431.1	152	1
9_Peak_46312_lociStitched	chr15	85541916	85593244	9	24303	50886.5792	9952.4992	153	AKAP13,AC087286.3	AKAP13,AC087286.1	AKAP13	153	1
13_Peak_33827_lociStitched	chr2	187526729	187582026	13	30435	48639.2412	8034.6541	154	AC007319.1,TFPI	TFPI	TFPI	154	1
Peak_42	chr15	60388395	60403220	1	14826	44686.9975	4130.245	155	AC087385.1,ANXA2	AC087385.2,ANXA2,AC087385.3,ICE2	ANXA2	155	1
6_Peak_45434_lociStitched	chr2	29105224	29132726	6	23579	47880.982	7340.2838	156	CLIP4	CLIP4,PCARE,AC105398.1	CLIP4	156	1
12_Peak_47193_lociStitched	chr14	75519004	75562899	12	39995	48130.8675	7686.0145	157	BATF	FLVCR2,RNA5SP387,MIR7641-2,AC007182.1,AC007182.2	BATF	157	1
8_Peak_43521_lociStitched	chr10	6271956	6315641	8	29373	48062.237	7627.401	158	AL137145.2,SDCBPP1	PFKFB3,AL137145.1,RF00019	SDCBPP1	158	1
10_Peak_53149_lociStitched	chr3	141391349	141434058	10	29351	48585.7584	8178.7735	159	ZBTB38	ZBTB38,AC117383.1,KRT18P35	ZBTB38	159	1
6_Peak_49586_lociStitched	chr5	159897551	159948931	6	26806	49350.49	8950.396	160	ADRA1B,LINC01847	ADRA1B,LINC01847,GAPDHP40	ADRA1B	160	1
20_Peak_2909_lociStitched	chr7	55017840	55081549	20	40688	52088.4784	11773.4232	161	EGFR	EGFR	EGFR	161	1
5_Peak_7597_lociStitched	chr17	72587601	72618559	5	24296	48384.2582	8141.954	162	LINC00511	RPL32P33,AC080037.1,LINC00511,RN7SKP180	LINC00511	162	1
14_Peak_10705_lociStitched	chr20	53734970	53809970	14	38695	53070	12877.5	163	AC006076.1		AC006076.1	163	1
9_Peak_52705_lociStitched	chr14	68444350	68489678	9	40438	48070.344	8054.7856	164	RAD51B	PPIAP6	RAD51B	164	1
24_Peak_88825_lociStitched	chr6	133544859	133647384	24	44126	51252.2475	11421.285	165	TARID	AL450270.1,HSPE1P21,TARID,FTH1P26	AL450270.1	165	1
